id,component_id,process_id,material_family_id,screening_status,application_role,reason,exact_material_grade,required_tolerance_mm,engineering_label_verified,service_release,evidence_level,source_ids
TX04-CNC_MILL_TURN,TX04,CNC_MILL_TURN,METAL_ALLOY,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,Screen engraving/cutting a specified metal identification plate; retain required marking durability.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
TX04-AM_POLYMER,TX04,AM_POLYMER,ENGINEERING_POLYMER,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,"Alternative only if the exact material/process meets marking, weathering, temperature and retention requirements.",,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
CB04-CNC_MILL_TURN,CB04,CNC_MILL_TURN,METAL_ALLOY,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,Screen engraving/cutting a specified metal identification plate; retain required marking durability.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
CB04-AM_POLYMER,CB04,AM_POLYMER,ENGINEERING_POLYMER,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,"Alternative only if the exact material/process meets marking, weathering, temperature and retention requirements.",,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
TX05-CNC_MILL_TURN,TX05,CNC_MILL_TURN,METAL_ALLOY,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,Screen machining an accessory bracket to verified dimensions and mechanical/environmental requirements.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
TX05-SHEET_FABRICATION,TX05,SHEET_FABRICATION,METAL_ALLOY,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,"Alternative if the actual bracket geometry and loads suit cut/bent sheet; verify joints, finish and bonding requirements.",,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
TX05-AM_METAL,TX05,AM_METAL,METAL_ALLOY,SPECIALIST_REVIEW,INSTALLED_REPLACEMENT,Specialist alternative if geometry or availability justifies qualification and post-processing.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
SA02-CNC_MILL_TURN,SA02,CNC_MILL_TURN,METAL_ALLOY,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,Screen machining an accessory bracket to verified dimensions and mechanical/environmental requirements.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
SA02-SHEET_FABRICATION,SA02,SHEET_FABRICATION,METAL_ALLOY,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,"Alternative if the actual bracket geometry and loads suit cut/bent sheet; verify joints, finish and bonding requirements.",,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
SA02-AM_METAL,SA02,AM_METAL,METAL_ALLOY,SPECIALIST_REVIEW,INSTALLED_REPLACEMENT,Specialist alternative if geometry or availability justifies qualification and post-processing.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
CB03-SHEET_FABRICATION,CB03,SHEET_FABRICATION,METAL_ALLOY,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,"Screen fabrication from specified sheet stock; validate enclosure interfaces, ingress, bonding, corrosion and applicable protection functions.",,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
CTRL01-SHEET_FABRICATION,CTRL01,SHEET_FABRICATION,METAL_ALLOY,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,"Screen fabrication from specified sheet stock; validate enclosure interfaces, ingress, bonding, corrosion and applicable protection functions.",,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
IT03-SHEET_FABRICATION,IT03,SHEET_FABRICATION,METAL_ALLOY,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,Metal variant only when consistent with the equipment design and verified gasket/bonding interfaces.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
IT03-CNC_MILL_TURN,IT03,CNC_MILL_TURN,ENGINEERING_POLYMER,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,Polymer variant only with established design and material compatibility; not permission to substitute for metal.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
IT03-AM_POLYMER,IT03,AM_POLYMER,ENGINEERING_POLYMER,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,Print study conditional on appropriate material/process properties and enclosure acceptance tests.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
CTRL03-AM_POLYMER,CTRL03,AM_POLYMER,ENGINEERING_POLYMER,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,"Low-consequence internal label carrier; verify flame, temperature, fit and retention requirements.",,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
CTRL03-CNC_ROUTING,CTRL03,CNC_ROUTING,ENGINEERING_POLYMER,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,Possible sheet/block fabrication route when the geometry and attachment suit the selected stock.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
AUX03-AM_POLYMER,AUX03,AM_POLYMER,ENGINEERING_POLYMER,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,"Low-consequence internal label carrier; verify flame, temperature, fit and retention requirements.",,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
AUX03-CNC_ROUTING,AUX03,CNC_ROUTING,ENGINEERING_POLYMER,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,Possible sheet/block fabrication route when the geometry and attachment suit the selected stock.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
CTRL04-AM_POLYMER,CTRL04,AM_POLYMER,ENGINEERING_POLYMER,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,Candidate for a controlled accessory trial under the catalog use restrictions.,,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
CTRL04-CNC_MILL_TURN,CTRL04,CNC_MILL_TURN,ENGINEERING_POLYMER,CANDIDATE_FOR_REVIEW,INSTALLED_REPLACEMENT,"Alternative machined-polymer route; preserve interfaces and assess grade, creep, heat and mechanical duty.",,,False,NOT_APPROVED,AUTHOR_DRAFT_SCREENING,['M3']
