id,family_id,name,am_screening,rationale,proposed_process,required_checks,service_release,evidence_level,assessment_basis,source_ids,oem,part_number,revision,dimensions_mm,material_grade,approved_machine,approved_build_parameters,cad_uri,acceptance_report,approved_by,approval_date,spare_lead_days,estimated_print_cost
TX01,TX,Tank and oil containment,EXCLUDE,Oil-tight structural containment; conventional/OEM replacement in this pilot.,None in pilot,OEM design and transformer validation,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
TX02,TX,HV / LV bushings,EXCLUDE,Primary insulation and electric-field control.,None in pilot,"OEM dielectric, thermal and mechanical qualification",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
TX03,TX,Radiator and cooling circuit,EXCLUDE,Heat transfer and oil containment.,None in pilot,OEM thermal and leak qualification,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
TX04,TX,External identification plate,TRIAL,Non-structural plate; proposed trial only where marking remains permanent and readable.,Polymer extrusion or powder bed fusion; grade TBD,"Dimensions, attachment, UV/weathering, temperature, marking permanence; compare engraved stock plate",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
TX05,TX,External sensor mounting bracket,QUALIFY,Only a non-load-bearing accessory outside electrical clearances and oil boundary.,Polymer or metal AM; grade TBD,"Loads, vibration, UV, thermal exposure, corrosion, sensor function, clearances",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
TX06,TX,Core and windings,EXCLUDE,"Electromagnetic, thermal and dielectric performance.",None in pilot,Full OEM transformer design and tests,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CB01,CB,Poles / interrupters,EXCLUDE,"Arc interruption, pressure containment and primary insulation.",None in pilot,OEM type and routine tests,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CB02,CB,Drive and trip linkage,EXCLUDE,Operating timing and protective switching function.,None in pilot,OEM mechanical endurance and interruption tests,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CB03,CB,Mechanism cabinet shell,QUALIFY,"Enclosure integrity, bonding and ingress protection must be retained.",Industrial metal AM study; compare formed sheet metal,"Ingress, bonding, corrosion, temperature, impact and fit",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CB04,CB,Cabinet identification plate,TRIAL,External non-structural identification only.,Polymer AM; grade TBD,"Weathering, heat, attachment, legibility; no substitute for mandatory safety marking",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
DS01,DS,Blades and live contacts,EXCLUDE,Current path and short-circuit duty.,None in pilot,OEM electrical and mechanical tests,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
DS02,DS,Post insulators,EXCLUDE,110 kV primary insulation and mechanical support.,None in pilot,"Dielectric, tracking, creepage and mechanical qualification",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
DS03,DS,Drive / earthing linkage,EXCLUDE,Isolation and earthing safety function.,None in pilot,OEM interlock and mechanical tests,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
IT01,IT,CT active assembly and housing,EXCLUDE,"Measurement accuracy, insulation and containment.",None in pilot,OEM accuracy and dielectric qualification,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
IT02,IT,VT active assembly and housing,EXCLUDE,Measurement accuracy and primary insulation.,None in pilot,OEM accuracy and dielectric qualification,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
IT03,IT,Secondary terminal-box lid,QUALIFY,"Lid can affect ingress, touch protection and bonding.",Polymer or metal AM study,"Ingress, flame, impact, clearances, gasket interface and bonding if metallic",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
SA01,SA,Arrester stack and housing,EXCLUDE,Surge-energy absorption and primary insulation.,None in pilot,OEM surge and dielectric qualification,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
SA02,SA,Counter mounting bracket,QUALIFY,External accessory only; keep earthing path and clearances intact.,Metal or polymer AM study,"Mechanical loads, corrosion, weathering, electrical clearances",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
BUS01,BUS,Bus conductors and clamps,EXCLUDE,"Continuous current, fault force and thermal duty.",None in pilot,OEM electrical and mechanical qualification,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
BUS02,BUS,Bus support insulation,EXCLUDE,Primary dielectric and mechanical support.,None in pilot,"OEM dielectric, pollution and mechanical qualification",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
BUS03,BUS,Steel support structures,EXCLUDE,Load-bearing structural system; outside pilot.,None in pilot,Structural design and connections,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CTRL01,CTRL,Cabinet enclosure,QUALIFY,"Enclosure affects fire, ingress and electromagnetic protection.",Industrial AM study; compare sheet-metal fabrication,"Ingress, bonding, electromagnetic compatibility, fire, impact and fit",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CTRL02,CTRL,Relay / IED and terminals,EXCLUDE,Protection electronics and certified electrical interfaces.,None in pilot,OEM replacement,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CTRL03,CTRL,Label carrier,TRIAL,"Internal, non-electrical identification accessory.",Polymer extrusion or powder bed fusion; grade TBD,"Fit, flame behavior, temperature, durable identification and retention",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CTRL04,CTRL,Low-load cable guide,TRIAL,Cable routing only; not cable restraint under fault loads or protective insulation.,Polymer AM; grade TBD,"Flame, temperature, bend radius, abrasion, retention, no loss of clearances",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CTRL05,CTRL,Non-locking drawer pull,TRIAL,Use only on an accessory drawer; not an interlock or energized-compartment door.,Polymer powder bed fusion or extrusion; grade TBD,"Fit, pull cycles, flame, temperature and failure consequences",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CTRL06,CTRL,Ventilation grille / filter frame,QUALIFY,Airflow and access protection can affect cabinet performance.,Polymer AM study,"Airflow, thermal rise, flame, ingress, impact and touch protection",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
MV01,MV,MV cubicle and arc containment,EXCLUDE,Arc and electrical containment.,None in pilot,OEM switchgear qualification,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
MV02,MV,Breaker / bus / insulators,EXCLUDE,Primary electrical and interruption functions.,None in pilot,OEM switchgear qualification,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
MV03,MV,Mechanical interlocks,EXCLUDE,Personnel protection and switching sequence.,None in pilot,OEM mechanical and safety validation,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
AUX01,AUX,Battery cells and charger,EXCLUDE,Electrochemical and electrical function.,None in pilot,OEM replacement,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
AUX02,AUX,Battery terminal protection cap,QUALIFY,"Touch protection, fault and chemical exposure.",Polymer AM study,"Dielectric, flame, chemical resistance, fit and retention",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
AUX03,AUX,Auxiliary panel label holder,TRIAL,Internal identification accessory with no electrical function.,Polymer AM; grade TBD,"Flame, temperature, fit, legibility and retention",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CIV01,CIV,Foundations and bund,EXCLUDE,Structural and spill containment functions.,None in pilot,Civil design and inspection,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CIV02,CIV,Earthing conductor and bonds,EXCLUDE,Fault-current and touch-voltage safety.,None in pilot,"Electrical design, continuity and fault duty",NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
CIV03,CIV,Cable trench cover,EXCLUDE,Load-bearing and access protection.,None in pilot,Structural and fire assessment,NOT_APPROVED,CONCEPT_SCREENING,Author engineering screening; not an OEM finding,"['S2', 'S3']",,,,,,,,,,,,,
